#####################################################################
# Alchemist log file - simulation started at: 2024-05-14T10:27+0000 #
#####################################################################
#
# seed = 5.0, areas = 5, lossThreshold = 20.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.81 2.81 2.81 0.00 2.0901033878326416 2.0901033878326416 2.0901033878326416 0.0 0.4375 0.4375 0.4375 0.0
1.1 56.0 0.25453592255592467 0.0 2.647194371658471 2.245380382715286 0.5359759771478522 1.47 2.81 2.65 0.0312 1.61963951587677 3.960120677947998 2.2151633117880136 0.4911811942780328 0.28125 0.8311688311688312 0.5165091604823747 0.01980069588343012
2.1 28.0 0.4480060351889331 0.0 1.3836511966358056 1.2871016070985057 0.7312010645604395 0.977 1.67 1.39 0.0195 0.7750964760780334 2.4647611379623413 1.2740816175937653 0.253859796523465 0.484375 0.921875 0.721724982606679 0.008380089278505573
3.1 14.0 0.6701313806479271 0.0 0.8237428938686684 0.9510958352268158 0.7761831918081918 0.566 1.10 0.837 0.0192 0.4452190399169922 1.8631980419158936 0.9487508375729833 0.16441228465278498 0.59375 0.921875 0.7673643320964749 0.006839164094517811
4.1 12.0 0.7200959277836295 0.0 0.7746055663048246 0.8858347373210883 0.7868321522227772 0.426 1.10 0.788 0.0283 0.3760194182395935 1.8449046611785889 0.884829224220344 0.14094043516890176 0.625 0.9375 0.7788004406307978 0.00602947325960007
5.1 8.0 0.8711375282750978 0.0 0.5587553072922662 0.777064674478936 0.8044912119130869 0.314 0.837 0.573 0.0191 0.29763785004615784 1.739107608795166 0.7779484838247299 0.12158482981290075 0.640625 0.921875 0.797201124768089 0.005190657029362473
6.1 6.0 1.0480119297265649 0.0 0.4419241122608515 0.7273850792174513 0.8145218843656344 0.212 0.685 0.456 0.0146 0.2616034150123596 1.7079339623451233 0.7280438755239759 0.1165326322027968 0.640625 0.90625 0.8083111085343229 0.0042596527968679155
7.1 5.0 0.6754772103079907 0.0 0.5316452543536456 0.7193345501060253 0.8153927322677322 0.289 0.835 0.548 0.0158 0.23919236660003662 1.61762535572052 0.722680389881134 0.09943291888065922 0.671875 0.921875 0.8088220373376623 0.00414832361462558
8.1 7.0 0.8519141854704557 0.0 0.4209965989413661 0.6881262363312575 0.8231518481518482 0.218 0.680 0.436 0.0126 0.22300367057323456 1.6342106461524963 0.6903450885521515 0.10211203086799235 0.671875 0.921875 0.8174208603896104 0.0036273657821388324
9.1 7.0 1.0143526726967091 0.0 0.34779988380295823 0.6716022899994007 0.8325732860889111 0.164 0.578 0.361 0.0101 0.2125926911830902 1.6588608026504517 0.6724911417279925 0.10667329271720223 0.703125 0.921875 0.8274655032467533 0.0029550830812579538
10.1 6.0 0.5758282319087904 0.0 0.4376822458166484 0.6505980919543413 0.8351648351648352 0.210 0.715 0.454 0.0149 0.19207216799259186 1.5618973970413208 0.6525438909551926 0.09494703572461084 0.6875 0.9375 0.8297846127087198 0.0029207753802675553
11.1 5.0 0.7656073987716204 0.0 0.3557950250208303 0.6453491122513026 0.8372815465784216 0.158 0.601 0.370 0.0113 0.18919378519058228 1.6299060583114624 0.645713239376034 0.10312271500344447 0.703125 0.921875 0.8332741477272727 0.002670715628695482
12.1 5.0 0.9506999626291263 0.0 0.2982483402425423 0.6476216501988968 0.8420565372127873 0.119 0.520 0.311 0.00930 0.18517492711544037 1.6839836239814758 0.6467412327017102 0.11157157065424558 0.6875 0.921875 0.8384812731910947 0.0023659812340886387
13.1 5.0 0.6168917466324942 0.0 0.3866377734724464 0.6166933898121625 0.846286447927073 0.174 0.600 0.402 0.0122 0.16380618512630463 1.5594972968101501 0.6177281902304717 0.09133022076526949 0.6875 0.953125 0.8414055252782932 0.0031654061095520137
14.1 5.0 0.8127348921935518 0.0 0.3167243453507906 0.6228537915858415 0.8464448832417583 0.126 0.502 0.330 0.00957 0.16801238059997559 1.6362977027893066 0.6225161110716207 0.09992461858549453 0.671875 0.9375 0.8424781134044527 0.0028928621905609446
15.1 5.0 0.9288502644489218 0.0 0.2687212892719838 0.6296545254557462 0.8471874999999999 0.0921 0.436 0.280 0.00769 0.16720162332057953 1.6963527202606201 0.6281907010291304 0.10851209623754283 0.703125 0.921875 0.8435941848330241 0.002674470149179215
16.1 5.0 0.48261676202153225 0.0 0.35305845191746166 0.5883609184249864 0.8544024725274726 0.149 0.536 0.367 0.0109 0.1487439125776291 1.5501658916473389 0.5880815793893166 0.09076415990819757 0.734375 0.953125 0.8507508116883117 0.0023939459623537615
17.1 5.0 0.6954477461604597 0.0 0.2890795144204964 0.6018728721787137 0.8543944336913085 0.109 0.463 0.301 0.00830 0.15464052557945251 1.6361863613128662 0.6003216518355267 0.10135729654369134 0.71875 0.953125 0.8513559543135436 0.0023063953741903308
18.1 5.0 0.8892876185349504 0.0 0.24450789466968828 0.6150825113629723 0.8539673607642356 0.0778 0.408 0.255 0.00648 0.15519750118255615 1.698731780052185 0.6126819982060365 0.11227351935202783 0.75 0.9375 0.8507508116883117 0.0020709551664392276
19.1 5.0 0.4787901212522699 0.0 0.32711647114608267 0.5717792445268634 0.8582640016233766 0.129 0.506 0.340 0.00890 0.13818785548210144 1.5690460801124573 0.5704992966992514 0.08987281479239663 0.734375 0.953125 0.8545121173469388 0.0024188454899994882
20.1 5.0 0.6960588378714514 0.0 0.26698439337462504 0.5900787254726583 0.8568896728271728 0.0912 0.437 0.278 0.00714 0.14372558891773224 1.6675220131874084 0.5875848896269288 0.10223763396735719 0.734375 0.953125 0.8538163845083488 0.002087280389215431
21.1 5.0 0.888230788871631 0.0 0.2255327440440063 0.6056180870794243 0.8549060314685315 0.0641 0.384 0.236 0.00596 0.14448556303977966 1.7340232729911804 0.601966588358794 0.1119427213022616 0.75 0.9375 0.8519574733302412 0.0021033219560652994
22.1 5.0 0.4555477457286067 0.0 0.3044724832783852 0.5628080513635716 0.8600685252247752 0.115 0.485 0.317 0.00836 0.13215872645378113 1.5843698978424072 0.5607020908168383 0.0916993570125108 0.734375 0.953125 0.857164598794063 0.002330053176861667
23.1 5.0 0.6823826020039416 0.0 0.24751393179804854 0.5834887196697466 0.8600916271228771 0.0792 0.416 0.259 0.00653 0.13688303530216217 1.6816174983978271 0.5802798430834498 0.10417939108053273 0.75 0.953125 0.8570269016697588 0.002072390919714456
24.1 5.0 0.891499951454875 0.0 0.2096072419347129 0.6008466290029046 0.8571248282967033 0.0540 0.365 0.219 0.00557 0.13841377198696136 1.7517412900924683 0.596976159672652 0.11363189625087955 0.765625 0.953125 0.8542838300092764 0.0021399044660851104
25.1 5.0 0.4458775054627367 0.0 0.2874748340328592 0.5542423231882618 0.8655543675074926 0.103 0.455 0.299 0.00760 0.12914590537548065 1.626270592212677 0.5511942271675382 0.0938589640794106 0.734375 0.953125 0.8626471185064934 0.002167446564801144
26.1 5.0 0.6736117193194293 0.0 0.23232894935670187 0.5777975144826032 0.8645282842157842 0.0696 0.388 0.243 0.00601 0.13275864720344543 1.7221438884735107 0.5736905743501015 0.10738132469545658 0.765625 0.953125 0.861440456864564 0.002059657753981503
27.1 5.0 0.8716887386779224 0.0 0.1949738195950117 0.5979523552888698 0.8615595342157842 0.0464 0.356 0.204 0.00527 0.13411100208759308 1.781209945678711 0.5931406375020742 0.11828475899181722 0.7792207792207793 0.953125 0.8586973852040817 0.0020114056174942094
28.1 5.0 0.4439375030044671 0.0 0.27334573429263614 0.549486376975889 0.8699341283716283 0.0927 0.433 0.284 0.00729 0.12747570872306824 1.6379892230033875 0.5457019470632076 0.09586221373890506 0.75 0.953125 0.8671585111317254 0.0019115110432186711
29.1 5.0 0.6728092741769748 0.0 0.2196169917383799 0.5743200326160147 0.8659748844905095 0.0618 0.367 0.229 0.00575 0.1298586130142212 1.7370983958244324 0.5694488898984023 0.10969239914647737 0.75 0.953125 0.863158047309833 0.0020118835022605156
30.1 5.0 0.8670624496478896 0.0 0.1840481449080667 0.596707538880564 0.861916442932068 0.0399 0.319 0.193 0.00491 0.1317388415336609 1.7998531460762024 0.5911848058125801 0.12156384350597885 0.765625 0.953125 0.8591648307050093 0.0019359068165492688
31.1 5.0 0.4489635951123335 0.0 0.2598333918240459 0.5455015095798197 0.8723838661338661 0.0836 0.421 0.271 0.00720 0.1263469159603119 1.6637386679649353 0.5410313640854187 0.09931773420055855 0.765625 0.96875 0.8699015827922078 0.0018695679749730233
32.1 5.0 0.675771705104814 0.0 0.2078507826319104 0.5721825704094652 0.8660256930569432 0.0543 0.354 0.217 0.00544 0.1276329755783081 1.7666174173355103 0.566656555980444 0.11355995239538015 0.75 0.953125 0.8635783858998145 0.0020816848124889107
33.1 5.0 0.8706299121746351 0.0 0.17323509884218438 0.5940350213275476 0.8643505713036962 0.0345 0.307 0.182 0.00461 0.13073669373989105 1.8276252150535583 0.5881942010351591 0.12383653091745878 0.765625 0.953125 0.8616723678107606 0.0019851102438617524
34.1 5.0 0.4444006606169812 0.0 0.24891345478521734 0.5433881576095041 0.8726441527222777 0.0754 0.406 0.259 0.00668 0.12552641332149506 1.6824217438697815 0.5383318063936062 0.10116646657589129 0.78125 0.96875 0.8704596185064934 0.0016012884271706202
35.1 5.0 0.6730196516272369 0.0 0.19730728641994852 0.571854991388845 0.8678972589910089 0.0310 0.339 0.206 0.00519 0.12597160041332245 1.7829743027687073 0.5653208355818476 0.11597145014365505 0.75 0.953125 0.8658105287569573 0.0021025385298680493
36.1 5.0 0.8654469326092349 0.0 0.16360960351377257 0.5909563484855673 0.8679721060189809 0.0310 0.292 0.172 0.00427 0.1295214593410492 1.837042510509491 0.5842879699277027 0.12555515251867816 0.78125 0.953125 0.8656257247217068 0.001882749760127382
