#####################################################################
# Alchemist log file - simulation started at: 2024-05-10T10:37+0000 #
#####################################################################
#
# seed = 5.0, areas = 9, lossThreshold = 80.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.61 2.61 2.61 0.00 1.5985640287399292 1.5985640287399292 1.5985640287399292 0.0 0.813953488372093 0.813953488372093 0.813953488372093 0.0
1.1 56.0 0.2037123284406132 0.0 2.484120727275257 1.4924262600180545 0.7419755329457364 0.974 2.65 2.49 0.0570 0.5332332849502563 1.7707842588424683 1.498287748013224 0.051424330970621546 0.328125 0.9375 0.7607843646179402 0.02046567567976152
2.1 13.0 0.3425357573562199 28.0 0.9698301694306082 0.5906614815747298 0.8594366835343096 0.366 1.15 0.965 0.0198 0.3151213824748993 0.7882728576660156 0.5784672535955906 0.013799589881610164 0.71875 0.96875 0.8660908949335548 0.0031776764269049215
3.1 2.0 0.49946196027743966 36.0 0.4447650639148651 0.38630993848229633 0.881359011627907 0.310 0.597 0.432 0.00719 0.1932586431503296 0.6359267234802246 0.3715076350740024 0.010131195194161663 0.78125 0.96875 0.8871275436046512 0.0020522867978583323
4.1 2.0 0.32587650832202697 43.0 0.6339505769143747 0.4371043331461188 0.8781234298736721 0.185 1.00 0.618 0.0410 0.21632756292819977 0.7160267233848572 0.4224004998270955 0.011825509704248328 0.765625 0.9534883720930233 0.8826567691029901 0.0020473571457105605
5.1 2.0 0.4746547768145432 43.0 0.34897576996466384 0.3348442040107868 0.8913281922911283 0.116 0.526 0.334 0.00865 0.17935681343078613 0.5935667753219604 0.3207218806658472 0.008406876055886983 0.78125 0.984375 0.8963156665282392 0.001655557810664484
6.1 3.0 0.6226088047763448 40.0 0.25564579400827975 0.2959841622706549 0.899030783448177 0.0823 0.432 0.242 0.00535 0.10902910679578781 0.570633053779602 0.2826022358079042 0.008359754031189267 0.78125 1.0 0.9049457537375415 0.0017377750679964557
7.1 4.0 0.3048934286207328 39.0 0.4964561135672922 0.37583866789017195 0.8915166074504738 0.125 0.783 0.496 0.0374 0.15029172599315643 0.5383503437042236 0.3671717372323785 0.009684679725911171 0.78125 0.9767441860465116 0.8940770348837209 0.0018068254799891836
8.1 4.0 0.46368752245181877 37.0 0.295690426281021 0.3057564767422499 0.9009620388314671 0.0842 0.406 0.287 0.00646 0.12113016843795776 0.5452620983123779 0.2941527057971273 0.007299350451843204 0.828125 1.0 0.9050885070598007 0.00145056151572092
